,label,name,price,img,loc
29,헤어토닉,리필드 헤어 리커버리 사이토카인 이펙터 플러스,32400,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018094102ko.jpg?l=ko,C-883
30,헤어토닉,아이엠 토닉 안티 헤어 로스 케어 100ml (3종 택1),28000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018269803ko.jpg?l=ko,C-537
31,헤어토닉,벤튼 어니스트 두피 영양제 토닉 앰플 100ml,33900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018233001ko.jpg?l=ko,C-524
32,헤어토닉,리필드 헤어 리커버리 샴푸 / 부스터 / 이펙터 / 스캐너 중 택 1,36000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018327903ko.jpg?l=ko,C-856
33,헤어토닉,리필드 헤어 리커버리 사이토카인 부스터 플러스 케어 3종 택1,36000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018094602ko.jpg?l=ko,C-748
34,헤어토닉,아로마티카 탈모증상완화 로즈마리 샴푸 400ml + 로즈마리 루트 인핸서 100ml 세트,27750,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016963703ko.jpg?l=ko,C-963
35,헤어토닉,아로마티카 탈모증상완화 로즈마리 스칼프 스크럽 165g +  로즈마리 루트 인핸서 100ml 세트,23250,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016962703ko.jpg?l=ko,C-677
36,헤어토닉,루톤 여성두피용 알파 에르겐 헤어토닉 150ml(탈모증상완화),17800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016176301ko.jpg?l=ko,C-747
37,헤어토닉,그라펜 스파클링 O2부스터 200ml (단품/기획),17800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0014/A00000014958008ko.jpg?l=ko,C-605
38,헤어토닉,[부스터+이펙터] 리필드 헤어 리커버리 2종 키트 3종 택 1 (모이스처 / 센서티브 / 세범 케어),63000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018586704ko.jpg?l=ko,C-777
39,헤어토닉,닥터방기원 랩 헤어탈모토닉 150ml,6500,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0014/B00000014883104ko.jpg?l=ko,C-708
40,헤어토닉,달리프 세이지 댄드러프 비듬개선 헤어토닉 더블기획 (100ml+100ml)(탈모증상완화),17800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016387822ko.jpg?l=ko,C-677
41,헤어토닉,[한정기획]달리프 댄드러프 비듬개선 헤어토닉 100ml (샴푸100ml 증정)(탈모증상완화),10800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016388021ko.jpg?l=ko,C-819
